trial_id,strategy,repeat_id,val_accuracy,train_loss,train_time_min,lora_rank,learning_rate,lora_targets,max_steps
0,manual,1,0.38,0.8437182092666626,22.8,16,0.0002,minimal,200
1,manual,0,0.38,0.8432071399688721,23.7,16,0.0002,minimal,200
3,manual,3,0.378,0.8434207797050476,22.8,16,0.0002,minimal,200
2,manual,2,0.384,0.8438401055335999,23.7,16,0.0002,minimal,200
5,manual,5,0.374,0.8430820608139038,25.3,16,0.0002,minimal,200
4,manual,4,0.378,0.8437205195426941,26.1,16,0.0002,minimal,200
26,manual,6,0.374,0.84319007396698,21.0,16,0.0002,minimal,200
27,manual,7,0.376,0.8431733512878418,21.3,16,0.0002,minimal,200
29,manual,9,0.376,0.8432386946678162,20.8,16,0.0002,minimal,200
28,manual,8,0.376,0.8432825589179993,20.8,16,0.0002,minimal,200
31,random,1,0.334,1.6908231258392334,15.9,32,1.7e-05,minimal,200
30,random,0,0.334,1.8176486778259278,27.2,16,1.4e-05,medium,200
32,random,1,0.332,1.7347612237930299,21.0,8,4e-05,minimal,200
33,random,0,0.34,0.8847302365303039,18.0,4,0.000182,full,200
35,random,0,0.352,1.0819889640808105,19.7,4,0.000152,minimal,200
34,random,1,0.394,0.7274726724624634,37.6,64,3.5e-05,full,200
36,random,0,0.382,0.8689798665046692,15.0,32,8.3e-05,minimal,200
37,random,1,0.328,1.3034452176094056,24.3,8,5.8e-05,minimal,200
38,random,0,0.348,1.0401102352142333,20.2,16,6.7e-05,minimal,200
39,random,1,0.392,0.9075950813293457,22.4,4,0.000135,medium,200
40,random,0,0.318,1.7688550662994384,20.4,4,1.2e-05,full,200
41,random,1,0.394,0.7522451591491699,19.5,32,0.000236,minimal,200
42,random,0,0.328,1.1288142490386963,35.1,16,5.4e-05,medium,200
43,random,1,0.33,1.6983247709274292,21.0,4,4.3e-05,minimal,200
45,random,1,0.324,1.550907039642334,29.4,16,1.9e-05,minimal,200
44,random,0,0.346,1.106447446346283,38.5,64,1.7e-05,minimal,200
46,random,1,0.388,0.7743604373931885,15.7,64,0.000223,medium,200
47,random,0,0.324,1.6543751811981202,19.9,4,5e-05,minimal,200
48,random,1,0.358,1.0480624723434449,15.6,16,5.1e-05,minimal,200
49,random,0,0.35,1.024954330921173,30.0,32,4.2e-05,minimal,200
50,random,1,0.328,2.1051959800720215,32.0,4,1.6e-05,minimal,200
51,random,0,0.35,0.984086217880249,16.0,8,8.7e-05,medium,200
52,random,1,0.378,0.8523741173744201,15.4,8,0.000224,minimal,200
53,random,0,0.402,0.916829617023468,24.5,16,0.000313,minimal,200
54,random,1,0.402,0.7516893076896668,25.6,16,0.000419,medium,200
55,random,0,0.388,0.7985174155235291,29.1,64,6e-05,full,200
56,random,1,0.406,0.8285710620880127,31.7,4,0.000268,medium,200
57,random,0,0.372,0.8352650976181031,26.0,8,8.8e-05,full,200
59,random,0,0.33,2.540378170013428,25.5,4,1.8e-05,medium,200
58,random,1,0.324,1.3400768041610718,45.1,4,3.9e-05,full,200
61,random,1,0.364,1.0308193707466125,15.4,4,0.000296,minimal,200
60,random,0,0.386,0.9081787705421448,25.7,64,6.4e-05,medium,200
62,random,1,0.352,0.9339538359642029,15.4,64,1.9e-05,minimal,200
63,random,0,0.336,1.1364462733268739,15.8,4,0.0001,medium,200
65,random,0,0.334,1.0131055092811585,18.2,64,2.2e-05,medium,200
64,random,1,0.324,1.40862211227417,29.1,16,1.7e-05,minimal,200
66,random,0,0.382,0.8651103401184081,15.6,8,0.000384,minimal,200
68,random,0,0.382,0.9395485091209411,16.5,16,9.6e-05,medium,200
67,random,1,0.352,1.0542877578735352,37.3,4,0.000104,full,200
69,random,1,0.318,1.789684820175171,19.2,8,1.1e-05,full,200
70,random,2,0.376,0.8550096774101257,16.6,64,0.000176,minimal,200
71,random,3,0.326,1.6417823314666748,37.8,8,1.6e-05,full,200
72,random,2,0.398,0.6509275460243225,20.3,16,0.00028,full,200
73,random,3,0.39,0.828512008190155,39.4,32,6.2e-05,full,200
74,random,2,0.41,0.8126128029823303,45.8,32,2.6e-05,full,200
75,random,3,0.436,0.6534613847732544,40.7,64,0.000368,medium,200
76,random,2,0.326,1.5995149755477904,38.3,4,3.5e-05,minimal,200
77,random,3,0.396,0.7831964492797852,19.5,32,0.000143,minimal,200
79,random,3,0.342,1.114933750629425,17.7,16,2e-05,medium,200
78,random,2,0.332,2.4148879051208496,38.2,8,1.2e-05,minimal,200
80,random,3,0.384,0.7946000266075134,19.9,4,0.00033,full,200
81,random,2,0.406,0.7580945014953613,21.1,64,0.000122,minimal,200
82,random,3,0.384,0.8844215178489685,21.1,16,0.000122,minimal,200
83,random,2,0.336,2.0516015577316282,19.8,8,1.7e-05,minimal,200
84,random,3,0.354,0.9963154530525208,37.4,8,2.5e-05,full,200
85,random,2,0.41,0.805124773979187,46.1,16,7.6e-05,full,200
86,random,3,0.416,0.6610699915885925,29.0,32,0.000123,full,200
87,random,2,0.338,1.1832201457023621,24.4,64,1.5e-05,minimal,200
89,random,2,0.404,0.7180298614501953,22.4,64,0.000234,medium,200
88,random,3,0.44,0.5913290119171143,40.2,64,0.000375,full,200
90,random,2,0.336,1.083846218585968,15.4,8,8.3e-05,minimal,200
91,random,3,0.344,1.0582955312728881,14.8,64,1.5e-05,minimal,200
93,random,3,0.324,1.6059218168258667,18.4,4,2.5e-05,full,200
92,random,2,0.404,0.709948616027832,45.7,16,4.8e-05,full,200
94,random,3,0.378,0.8772122049331665,17.6,32,6.6e-05,full,200
96,random,3,0.338,1.6794266510009765,14.8,4,3.3e-05,minimal,200
95,random,2,0.388,0.6751764845848084,18.4,16,0.000241,full,200
97,random,3,0.392,0.7596425342559815,19.6,64,0.000207,minimal,200
98,random,2,0.33,1.4516111898422241,25.5,8,1.6e-05,medium,200
99,random,3,0.334,1.787047839164734,25.4,16,1.4e-05,medium,200
100,random,2,0.39,0.803279550075531,19.7,8,0.000397,minimal,200
102,random,2,0.414,0.687155659198761,24.1,64,0.00036,minimal,200
101,random,3,0.426,0.6792716979980469,28.7,64,6.1e-05,full,200
104,random,3,0.4,0.6414611744880676,25.7,64,0.000144,full,200
103,random,2,0.402,0.7244526195526123,32.4,32,0.000189,medium,200
105,random,3,0.368,0.948344202041626,21.0,4,0.000196,minimal,200
106,random,2,0.392,0.9090901017189026,29.5,8,0.000486,minimal,200
107,random,3,0.324,1.231380615234375,40.4,8,7.8e-05,medium,200
108,random,2,0.352,0.9823145747184754,34.6,32,6e-05,medium,200
109,random,2,0.384,0.7273257184028625,15.1,64,0.00026,minimal,200
110,random,5,0.34,2.0016462707519533,32.6,8,1.8e-05,minimal,200
111,random,4,0.326,1.2756987071037293,35.5,4,6e-05,medium,200
112,random,5,0.364,0.8583457064628601,31.4,8,7.9e-05,medium,200
113,random,4,0.384,0.9573411822319031,37.8,64,7.2e-05,minimal,200
114,random,5,0.376,0.7229265594482421,17.5,16,0.000445,full,200
115,random,4,0.394,0.7507641363143921,20.7,32,0.000119,minimal,200
116,random,5,0.38,0.7662488865852356,18.1,8,0.000139,full,200
117,random,4,0.404,0.7673120403289795,16.1,64,0.00013,medium,200
118,random,5,0.37,0.8664264225959778,18.4,8,0.000214,full,200
119,random,4,0.334,1.1857941699028016,29.1,64,3e-05,minimal,200
120,random,5,0.366,0.8150869941711426,24.0,4,0.000406,full,200
121,random,4,0.36,0.988194305896759,28.9,64,2e-05,minimal,200
122,random,5,0.386,0.703543746471405,40.5,64,9.6e-05,full,200
123,random,4,0.404,0.7369949984550476,31.9,32,8.6e-05,medium,200
124,random,5,0.332,1.7056011390686034,23.9,16,1e-05,minimal,200
125,random,4,0.398,0.7834569978713989,17.9,64,0.000112,medium,200
126,random,5,0.334,1.0407509922981262,17.6,4,5.1e-05,full,200
127,random,4,0.406,0.792814404964447,15.7,32,0.000185,medium,200
128,random,5,0.332,1.6605923938751221,25.1,4,4.5e-05,medium,200
129,random,4,0.388,0.7436337852478028,21.2,32,0.000411,medium,200
130,random,5,0.38,0.8331432819366456,17.6,8,0.000162,full,200
131,random,4,0.346,0.9737259554862976,16.0,64,3.8e-05,medium,200
132,random,5,0.33,1.4344921159744262,23.8,32,1.7e-05,minimal,200
133,random,4,0.398,0.7921458292007446,25.6,64,0.000106,medium,200
135,random,4,0.328,1.8260981845855713,22.7,4,2.3e-05,medium,200
134,random,5,0.404,0.6626179528236389,27.8,8,0.000187,full,200
136,random,4,0.332,2.5968227767944336,21.0,4,1.7e-05,medium,200
137,random,5,0.318,1.1458327627182008,31.4,8,4.3e-05,medium,200
138,random,4,0.364,0.9252693891525269,18.1,4,9.3e-05,medium,200
139,random,5,0.396,0.9076720809936524,25.1,16,0.000193,medium,200
140,random,4,0.378,0.9254158639907837,22.6,64,5.7e-05,medium,200
141,random,5,0.35,1.1138369584083556,37.9,32,1.5e-05,minimal,200
142,random,4,0.358,0.9660506296157837,37.6,4,5.2e-05,full,200
143,random,5,0.396,0.7923920941352844,17.7,32,8.2e-05,medium,200
144,random,4,0.398,0.6939260959625244,22.6,64,9.2e-05,medium,200
146,random,4,0.328,1.1790216040611268,32.0,4,0.000128,medium,200
145,random,5,0.422,0.6667225813865661,46.7,64,3.1e-05,full,200
148,random,5,0.412,0.6304239726066589,29.0,16,0.000188,full,200
147,random,4,0.402,0.8746237540245057,32.1,32,0.000187,minimal,200
149,random,5,0.362,0.9289130020141602,19.7,8,5.4e-05,full,200
150,random,6,0.382,0.8742239117622376,18.9,64,1.2e-05,full,200
151,random,7,0.368,0.8245535063743591,19.6,8,0.000133,full,200
152,random,6,0.34,0.9360290575027466,18.6,8,7.1e-05,full,200
153,random,7,0.328,2.1912219429016115,29.0,4,2.4e-05,minimal,200
154,random,6,0.36,0.9561216688156128,17.0,4,0.000341,minimal,200
155,random,7,0.324,1.6530392503738403,18.3,4,2.4e-05,full,200
157,random,7,0.326,1.1197613525390624,22.4,16,4.9e-05,medium,200
156,random,6,0.332,1.949632773399353,40.7,4,1.2e-05,medium,200
158,random,7,0.332,1.3907454681396485,15.6,4,3.3e-05,medium,200
159,random,6,0.34,1.1604039239883424,25.4,32,1.9e-05,medium,200
161,random,6,0.386,0.7779765176773071,15.8,64,0.00024,medium,200
160,random,7,0.328,2.417754259109497,31.7,16,1.2e-05,minimal,200
163,random,7,0.386,0.8826056385040283,17.3,4,0.000353,minimal,200
162,random,6,0.378,0.7942959070205688,20.9,32,0.000276,medium,200
164,random,7,0.394,0.829140796661377,21.1,64,4.5e-05,medium,200
165,random,6,0.394,0.8874636387825012,24.2,16,0.000295,minimal,200
166,random,7,0.38,0.8752600073814392,21.0,8,0.000159,medium,200
167,random,6,0.34,1.009182665348053,25.7,8,3.7e-05,medium,200
169,random,6,0.396,0.7880053567886353,15.9,64,4.7e-05,medium,200
168,random,7,0.356,0.9970585155487061,37.4,16,1.4e-05,full,200
170,random,6,0.332,1.9832299995422362,15.7,8,1.9e-05,medium,200
171,random,7,0.408,0.7109068560600281,16.4,64,0.000253,medium,200
172,random,6,0.388,0.7041627645492554,18.8,64,9.4e-05,full,200
173,random,7,0.402,0.6449576425552368,20.0,32,0.000136,full,200
175,random,7,0.396,0.6920601844787597,20.2,16,0.000138,full,200
174,random,6,0.332,1.1569563579559325,46.5,8,1.3e-05,full,200
176,random,7,0.352,1.068938217163086,25.6,16,9e-05,medium,200
177,random,6,0.374,0.8381591176986695,20.0,16,0.000269,minimal,200
178,random,7,0.33,1.1888157892227174,21.1,64,2.7e-05,minimal,200
180,random,7,0.394,0.8078717684745789,18.1,64,0.000112,medium,200
179,random,6,0.398,0.8145911455154419,40.9,64,2.2e-05,medium,200
182,random,6,0.394,0.8257846736907959,20.9,32,0.000102,medium,200
181,random,7,0.416,0.682335820198059,41.9,64,5.5e-05,full,200
184,random,7,0.326,2.0791186618804933,21.4,4,1.7e-05,medium,200
183,random,6,0.41,0.6488442540168762,40.7,8,0.000476,full,200
185,random,7,0.346,1.0175362634658813,15.1,32,3.3e-05,minimal,200
186,random,6,0.4,0.7836140084266663,15.0,32,0.000218,minimal,200
187,random,7,0.39,0.7345830178260804,21.4,32,0.000339,medium,200
188,random,6,0.402,0.736979455947876,17.8,64,0.000113,full,200
189,random,6,0.316,1.7596765565872192,45.4,4,1.9e-05,full,200
191,random,8,0.364,0.8929377698898315,23.2,8,0.00011,medium,200
190,random,9,0.332,1.3772381925582886,32.7,16,5.3e-05,minimal,200
192,random,8,0.388,0.8253512215614319,22.7,16,0.000192,medium,200
193,random,9,0.318,1.3382458329200744,15.3,16,3.5e-05,minimal,200
195,random,9,0.374,0.8876352238655091,28.5,16,2.7e-05,full,200
194,random,8,0.394,0.7894644165039062,40.5,16,7.1e-05,full,200
196,random,9,0.398,0.6492964696884155,20.2,64,0.000295,full,200
197,random,8,0.394,0.7425534200668334,17.0,32,0.000165,minimal,200
198,random,9,0.394,0.8198944664001465,37.1,32,4.9e-05,full,200
199,random,8,0.396,0.6483954381942749,37.9,64,0.000164,full,200
200,random,9,0.36,0.9476404738426208,21.1,64,1.9e-05,minimal,200
201,random,8,0.384,0.8816621088981629,40.4,4,0.000331,medium,200
202,random,9,0.316,1.3820852470397949,22.6,32,1.2e-05,medium,200
204,random,9,0.362,0.8998234176635742,18.0,16,3.1e-05,full,200
203,random,8,0.392,0.9421610403060913,31.8,32,7.2e-05,minimal,200
205,random,9,0.408,0.7175567626953125,21.1,16,0.000333,minimal,200
206,random,8,0.324,0.9225506448745727,17.8,4,5.2e-05,full,200
208,random,8,0.39,0.7207839941978454,18.6,32,0.000217,full,200
207,random,9,0.41,0.7738068914413452,38.2,32,0.000322,minimal,200
210,random,9,0.334,1.7951354122161864,15.7,8,1.5e-05,minimal,200
209,random,8,0.334,1.7705950403213502,40.7,4,1.6e-05,medium,200
211,random,9,0.386,0.8427957177162171,34.9,4,0.000396,medium,200
212,random,8,0.4,0.7294342756271363,28.7,16,5.9e-05,full,200
213,random,9,0.39,0.7244983410835266,26.8,16,0.000245,full,200
214,random,8,0.316,1.5098812627792357,21.3,8,1.4e-05,medium,200
215,random,9,0.394,0.7408251667022705,17.7,32,0.000196,full,200
216,random,8,0.426,0.657609941959381,35.1,64,0.000351,medium,200
217,random,9,0.32,1.3454423999786378,20.1,8,2.6e-05,full,200
218,random,8,0.36,1.064296202659607,20.8,16,0.000133,minimal,200
219,random,9,0.336,1.8283828449249269,20.9,8,3.5e-05,minimal,200
220,random,8,0.386,0.8654623007774354,24.4,16,2.6e-05,full,200
221,random,9,0.396,0.8098477220535278,46.4,4,0.000123,full,200
222,random,8,0.318,1.2550592088699342,32.0,64,1.3e-05,medium,200
224,random,8,0.336,1.063198516368866,17.1,8,0.000146,minimal,200
223,random,9,0.444,0.6048899483680725,42.3,64,0.000208,full,200
225,random,8,0.342,1.0510983753204346,15.6,32,7.5e-05,minimal,200
227,random,8,0.368,1.0076301980018616,22.4,4,0.000251,medium,200
226,random,9,0.334,1.7139788961410523,25.8,8,2.9e-05,medium,200
229,random,9,0.408,0.799914813041687,15.0,32,0.000263,minimal,200
228,random,8,0.336,1.0536585140228272,31.9,8,6.3e-05,medium,200
230,optuna,1,0.376,0.8415897679328919,16.6,64,4e-05,minimal,200
231,optuna,0,0.324,1.1405979824066161,33.0,16,4.7e-05,medium,200
232,optuna,1,0.376,0.919925467967987,16.6,4,0.000158,medium,200
234,optuna,1,0.366,0.9796520590782165,21.1,16,3.8e-05,medium,200
233,optuna,0,0.36,0.9768533396720886,25.5,32,1.5e-05,full,200
235,optuna,1,0.4,0.7785983037948608,46.6,4,0.000109,full,200
236,optuna,0,0.4,0.829367368221283,45.8,4,0.000228,full,200
237,optuna,1,0.334,1.6828814458847046,15.7,8,2.9e-05,medium,200
238,optuna,0,0.386,0.8019526433944703,15.5,64,0.000109,minimal,200
239,optuna,1,0.376,0.7716534233093262,24.2,16,0.000273,full,200
240,optuna,0,0.382,0.8674182081222535,25.4,64,8.3e-05,medium,200
242,optuna,0,0.32,1.327019419670105,19.6,32,1.8e-05,minimal,200
241,optuna,1,0.36,0.9868681073188782,34.7,8,8.7e-05,medium,200
243,optuna,0,0.364,0.860001425743103,17.9,64,3.3e-05,full,200
244,optuna,1,0.396,0.779056351184845,22.6,8,0.000221,medium,200
245,optuna,0,0.362,0.9342386937141418,24.6,32,1.1e-05,full,200
247,optuna,0,0.406,0.6233992958068848,20.0,32,0.000272,full,200
246,optuna,1,0.38,0.8574753856658935,37.8,8,0.000115,full,200
248,optuna,0,0.396,0.7389775967597961,26.5,64,2.9e-05,full,200
249,optuna,1,0.382,0.8787279438972473,29.4,8,0.000214,minimal,200
250,optuna,0,0.402,0.7193841528892517,17.9,8,0.000438,medium,200
252,optuna,0,0.398,0.7162140655517578,17.9,8,0.000469,medium,200
251,optuna,1,0.316,2.435394010543823,46.3,4,1e-05,full,200
253,optuna,0,0.4,0.7033882069587708,17.8,8,0.000499,medium,200
255,optuna,0,0.386,0.801483416557312,17.9,8,0.000203,medium,200
254,optuna,1,0.444,0.5915687036514282,29.0,32,0.00044,full,200
256,optuna,0,0.396,0.7056436824798584,17.3,16,0.000233,minimal,200
257,optuna,1,0.44,0.5900222659111023,29.1,32,0.000481,full,200
