trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
49	random	0	32	64	4.2e-05	1	16	0.0473	0.097	minimal	200	0.35	0.6844	0.0312	1.024954330921173	30.0	10012.5	completed				0.0
50	random	1	4	16	1.6e-05	2	16	0.0128	0.0868	minimal	200	0.328	0.6434	0.0273	2.1051959800720215	32.0	10612.4	completed				0.0
51	random	0	8	32	8.7e-05	1	4	0.0833	0.0256	medium	200	0.35	0.6762	0.0391	0.984086217880249	16.0	10568.7	completed				0.0
52	random	1	8	32	0.000224	2	4	0.0485	0.0206	minimal	200	0.378	0.7131	0.0586	0.8523741173744201	15.4	11164.9	completed				0.0
53	random	0	16	16	0.000313	4	8	0.0855	0.0371	minimal	200	0.402	0.7459	0.0742	0.916829617023468	24.5	11224.2	completed				0.0
54	random	1	16	32	0.000419	4	8	0.0652	0.023	medium	200	0.402	0.7705	0.0508	0.7516893076896668	25.6	11840.7	completed				0.0
55	random	0	64	64	6e-05	4	8	0.0937	0.0521	full	200	0.388	0.7582	0.0352	0.7985174155235291	29.1	12174.8	completed				0.0
56	random	1	4	16	0.000268	1	16	0.0555	0.0248	medium	200	0.406	0.7664	0.0625	0.8285710620880127	31.7	12376.9	completed				0.0
57	random	0	8	16	8.8e-05	2	8	0.038	0.0447	full	200	0.372	0.7213	0.0391	0.8352650976181031	26.0	12429.8	completed				0.0
59	random	0	4	4	1.8e-05	4	8	0.0841	0.0747	medium	200	0.33	0.6434	0.0312	2.540378170013428	25.5	13009.1	completed				0.0
58	random	1	4	4	3.9e-05	4	16	0.0208	0.0442	full	200	0.324	0.6352	0.0273	1.3400768041610718	45.1	13089.4	completed				0.0
61	random	1	4	4	0.000296	2	4	0.0355	0.0914	minimal	200	0.364	0.7213	0.0234	1.0308193707466125	15.4	13552.3	completed				0.0
60	random	0	64	64	6.4e-05	4	8	0.0768	0.0989	medium	200	0.386	0.7295	0.0586	0.9081787705421448	25.7	13703.5	completed				0.0
62	random	1	64	256	1.9e-05	2	4	0.023	0.0423	minimal	200	0.352	0.6844	0.0352	0.9339538359642029	15.4	14198.5	completed				0.0
63	random	0	4	8	0.0001	1	4	0.0514	0.0977	medium	200	0.336	0.6516	0.0352	1.1364462733268739	15.8	14147.5	completed				0.0
65	random	0	64	64	2.2e-05	4	4	0.0041	0.0449	medium	200	0.334	0.6557	0.0273	1.0131055092811585	18.2	14865.3	completed				0.0
64	random	1	16	64	1.7e-05	1	16	0.0716	0.0151	minimal	200	0.324	0.6311	0.0312	1.40862211227417	29.1	14778.0	completed				0.0
66	random	0	8	8	0.000384	2	4	0.0136	0.03	minimal	200	0.382	0.7213	0.0586	0.8651103401184081	15.6	15350.9	completed				0.0
68	random	0	16	32	9.6e-05	2	4	0.0808	0.0467	medium	200	0.382	0.7254	0.0547	0.9395485091209411	16.5	15976.6	completed				0.0
67	random	1	4	4	0.000104	1	16	0.0912	0.0418	full	200	0.352	0.6844	0.0352	1.0542877578735352	37.3	15388.8	completed				0.0
69	random	1	8	8	1.1e-05	4	4	0.0141	0.0087	full	200	0.318	0.627	0.0234	1.789684820175171	19.2	16017.8	completed				0.0
70	random	2	64	64	0.000176	2	4	0.0783	0.0762	minimal	200	0.376	0.7131	0.0547	0.8550096774101257	16.6	4626.4	completed				0.0
71	random	3	8	8	1.6e-05	1	16	0.096	0.0481	full	200	0.326	0.6434	0.0234	1.6417823314666748	37.8	4649.7	completed				0.0
72	random	2	16	64	0.00028	4	4	0.0308	0.083	full	200	0.398	0.7623	0.0508	0.6509275460243225	20.3	5315.8	completed				0.0
73	random	3	32	32	6.2e-05	2	16	0.0503	0.0459	full	200	0.39	0.7459	0.0508	0.828512008190155	39.4	5438.6	completed				0.0
74	random	2	32	128	2.6e-05	4	16	0.0996	0.0706	full	200	0.41	0.7951	0.043	0.8126128029823303	45.8	6099.1	completed				0.0
75	random	3	64	128	0.000368	4	16	0.0634	0.0989	medium	200	0.436	0.7951	0.0938	0.6534613847732544	40.7	5987.9	completed				0.0
76	random	2	4	16	3.5e-05	4	16	0.0916	0.0499	minimal	200	0.326	0.6352	0.0312	1.5995149755477904	38.3	6484.8	completed				0.0
77	random	3	32	128	0.000143	1	8	0.0386	0.0113	minimal	200	0.396	0.75	0.0586	0.7831964492797852	19.5	6408.5	completed				0.0
79	random	3	16	64	2e-05	4	4	0.0603	0.0483	medium	200	0.342	0.6762	0.0234	1.114933750629425	17.7	7022.5	completed				0.0
78	random	2	8	16	1.2e-05	4	16	0.0235	0.0301	minimal	200	0.332	0.6475	0.0312	2.4148879051208496	38.2	7087.4	completed				0.0
80	random	3	4	8	0.00033	4	4	0.0943	0.0998	full	200	0.384	0.75	0.0352	0.7946000266075134	19.9	7614.8	completed				0.0
81	random	2	64	128	0.000122	2	8	0.0198	0.0123	minimal	200	0.406	0.7705	0.0586	0.7580945014953613	21.1	7636.4	completed				0.0
82	random	3	16	64	0.000122	2	8	0.0892	0.0528	minimal	200	0.384	0.7418	0.043	0.8844215178489685	21.1	8200.0	completed				0.0
83	random	2	8	16	1.7e-05	1	8	0.0447	0.0854	minimal	200	0.336	0.6557	0.0312	2.0516015577316282	19.8	8174.9	completed				0.0
84	random	3	8	32	2.5e-05	1	16	0.0761	0.0661	full	200	0.354	0.6926	0.0312	0.9963154530525208	37.4	8841.9	completed				0.0
85	random	2	16	32	7.6e-05	4	16	0.0685	0.0842	full	200	0.41	0.7869	0.0508	0.805124773979187	46.1	8996.4	completed				0.0
86	random	3	32	128	0.000123	4	8	0.0608	0.058	full	200	0.416	0.7787	0.0703	0.6610699915885925	29.0	9628.7	completed				0.0
87	random	2	64	128	1.5e-05	4	8	0.0572	0.0931	minimal	200	0.338	0.6516	0.0391	1.1832201457023621	24.4	9464.6	completed				0.0
89	random	2	64	128	0.000234	2	8	0.0726	0.0909	medium	200	0.404	0.7746	0.0508	0.7180298614501953	22.4	10081.3	completed				0.0
88	random	3	64	128	0.000375	2	16	0.0246	0.0083	full	200	0.44	0.791	0.1055	0.5913290119171143	40.2	10380.8	completed				0.0
90	random	2	8	16	8.3e-05	2	4	0.011	0.0552	minimal	200	0.336	0.6557	0.0312	1.083846218585968	15.4	10566.9	completed				0.0
91	random	3	64	256	1.5e-05	1	4	0.0502	0.0917	minimal	200	0.344	0.6639	0.0391	1.0582955312728881	14.8	10603.0	completed				0.0
93	random	3	4	4	2.5e-05	2	4	0.0367	0.0591	full	200	0.324	0.6393	0.0234	1.6059218168258667	18.4	11186.9	completed				0.0
92	random	2	16	64	4.8e-05	4	16	0.002	0.0065	full	200	0.404	0.7787	0.0469	0.709948616027832	45.7	11388.4	completed				0.0
