trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
0	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.0	0.0	0.0	0.0	5.8	0.0	failed	[WinError 32] 다른 프로세스가 파일을 사용 중이기 때문에 프로세스가 액세스 할 수 없습니다: 'D:/cache/huggingface/datasets/generator/default-1e1363a9ff496e1c/0.0.0.incomplete\\generator-train-00000-00001-of-NNNNN.arrow'			0.0
1	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.0	0.0	0.0	0.0	104.1	0.0	failed	[WinError 5] 액세스가 거부되었습니다: 'data\\_chat_cache\\.tmp-qwen_pathvqa_train-43992' -> 'data\\_chat_cache\\qwen_pathvqa_train'			0.0
2	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	33.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
3	optuna	0	4	4	2e-05	4	8	0.0568	0.0628	medium	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
4	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	No API key configured. Use `wandb login` to log in.			0.0
5	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
6	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
7	optuna	0	4	8	3.1e-05	4	8	0.0734	0.0973	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
8	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	1.3	0.0	failed	'images'			0.0
9	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.4435	0.7906	0.0959	0.8431734895706177	26.4	4346.5	completed				0.0
10	random	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	62.4	0.0	failed	이 작업을 완료하기 위한 페이징 파일이 너무 작습니다. (os error 1455)			0.0
11	optuna	0	8	32	4e-05	1	16	0.0494	0.0517	medium	200	0.3977	0.7192	0.0757	1.0456539034843444	47.2	5592.5	completed				0.0
12	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.0	0.0	0.0	0.0	50.8	0.0	failed	Unable to allocate 1.19 MiB for an array with shape (532, 784, 3) and data type uint8			0.0
13	random	0	16	64	4.5e-05	1	8	0.0074	0.0708	minimal	200	0.3759	0.6942	0.0572	0.9682050228118897	27.2	4346.5	completed				0.0
14	autoresearch	0	4	4	0.000182	1	4	0.014	0.0102	full	200	0.3806	0.6805	0.0801	0.8847577333450317	25.2	4966.9	completed				0.0
