strategy,n_repeats,best_acc_mean,best_acc_std,best_acc_max,avg_trials,total_trials
autoresearch,1,0.3806,0.0,0.3806,1.0,1
manual,1,0.4435,0.0,0.4435,1.0,1
optuna,1,0.3977,0.0,0.3977,1.0,1
random,1,0.3759,0.0,0.3759,1.0,1
