trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
0	random	0	16	32	1.3e-05	2	4	0.0648	0.0626	full	200	0.324	0.6393	0.0234	1.1440172982215882	22.6	4456.0	completed				0.0
1	manual	0	16	32	0.0002	1	8	0.03	0.01	minimal	200	0.38	0.7131	0.0625	0.8431854248046875	24.4	4346.5	completed				0.0
2	autoresearch	0	16	64	3.2e-05	1	4	0.0305	0.0651	minimal	200	0.338	0.6598	0.0312	1.1390991163253785	16.7	4338.4	completed				0.0
3	optuna	0	16	32	0.000209	2	8	0.053	0.0498	minimal	200	0.392	0.7459	0.0547	0.8528021335601806	24.7	4366.0	completed				0.0
